"module name","licenses","repository","licenseUrl","parents"
"cliui@6.0.0","ISC","http://github.com/yargs/cliui","http://github.com/yargs/cliui/raw/master/LICENSE.txt","logkitty:SparkTasks"
"cliui@7.0.4","ISC","https://github.com/yargs/cliui","https://github.com/yargs/cliui/raw/master/LICENSE.txt","react-native-vector-icons:SparkTasks"
"cliui@8.0.1","ISC","https://github.com/yargs/cliui","https://github.com/yargs/cliui/raw/master/LICENSE.txt","SparkTasks"
"clone-deep@4.0.1","MIT","https://github.com/jonschlinkert/clone-deep","https://github.com/jonschlinkert/clone-deep/raw/master/LICENSE","SparkTasks"
"clone@1.0.4","MIT","https://github.com/pvorb/node-clone","https://github.com/pvorb/node-clone/raw/master/LICENSE","defaults:SparkTasks"
"clone@2.1.2","MIT","https://github.com/pvorb/node-clone","https://github.com/pvorb/node-clone/raw/master/LICENSE","SparkTasks"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert","https://github.com/Qix-/color-convert/raw/master/LICENSE","UNDEFINED"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert","https://github.com/Qix-/color-convert/raw/master/LICENSE","color:SparkTasks"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name","https://github.com/dfcreative/color-name/raw/master/LICENSE","UNDEFINED"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name","https://github.com/colorjs/color-name/raw/master/LICENSE","color:SparkTasks"
"color-string@1.9.1","MIT","https://github.com/Qix-/color-string","https://github.com/Qix-/color-string/raw/master/LICENSE","SparkTasks"
"color-support@1.1.3","ISC","https://github.com/isaacs/color-support","https://github.com/isaacs/color-support/raw/master/LICENSE","server"
"color@3.2.1","MIT","https://github.com/Qix-/color","https://github.com/Qix-/color/raw/master/LICENSE","react-native-paper:SparkTasks"
"color@4.2.3","MIT","https://github.com/Qix-/color","https://github.com/Qix-/color/raw/master/LICENSE","SparkTasks"
"colorette@1.4.0","MIT","https://github.com/jorgebucaran/colorette","https://github.com/jorgebucaran/colorette/raw/master/LICENSE.md","SparkTasks"
"colorette@2.0.19","MIT","https://github.com/jorgebucaran/colorette","https://github.com/jorgebucaran/colorette/raw/master/LICENSE.md","server"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream","https://github.com/felixge/node-combined-stream/raw/master/License","SparkTasks"
"command-exists@1.2.9","MIT","http://github.com/mathisonian/command-exists","http://github.com/mathisonian/command-exists/raw/master/LICENSE","SparkTasks"
"commander@10.0.1","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js/raw/master/LICENSE","knex:server"
"commander@2.20.3","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js/raw/master/LICENSE","terser:SparkTasks"
"commander@2.6.0","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js","server"
"commander@2.8.1","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js/raw/master/LICENSE","clean-css:server"
"commander@4.1.1","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js/raw/master/LICENSE","sucrase:SparkTasks"
"commander@7.2.0","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js/raw/master/LICENSE","SparkTasks"
"commander@9.5.0","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js/raw/master/LICENSE","@react-native-community/cli:SparkTasks"
"commondir@1.0.1","MIT","http://github.com/substack/node-commondir","http://github.com/substack/node-commondir/raw/master/LICENSE","SparkTasks"
"component-type@1.2.2","MIT","https://github.com/sindresorhus/component-type","https://github.com/sindresorhus/component-type","SparkTasks"
"compressible@2.0.18","MIT","https://github.com/jshttp/compressible","https://github.com/jshttp/compressible/raw/master/LICENSE","SparkTasks"
"compression@1.7.4","MIT","https://github.com/expressjs/compression","https://github.com/expressjs/compression/raw/master/LICENSE","SparkTasks"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map","https://github.com/substack/node-concat-map/raw/master/LICENSE","server"
"connect@3.7.0","MIT","https://github.com/senchalabs/connect","https://github.com/senchalabs/connect/raw/master/LICENSE","SparkTasks"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings","https://github.com/iarna/console-control-strings/raw/master/LICENSE","server"
"constantinople@3.0.2","MIT","https://github.com/ForbesLindesay/constantinople","https://github.com/ForbesLindesay/constantinople/raw/master/LICENSE","server"
"content-disposition@0.5.2","MIT","https://github.com/jshttp/content-disposition","https://github.com/jshttp/content-disposition/raw/master/LICENSE","server"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type","https://github.com/jshttp/content-type/raw/master/LICENSE","server"
"convert-source-map@2.0.0","MIT","https://github.com/thlorenz/convert-source-map","https://github.com/thlorenz/convert-source-map/raw/master/LICENSE","SparkTasks"
"cookie-parser@1.4.6","MIT","https://github.com/expressjs/cookie-parser","https://github.com/expressjs/cookie-parser/raw/master/LICENSE","server"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature","https://github.com/visionmedia/node-cookie-signature","server"
"cookie@0.3.1","MIT","https://github.com/jshttp/cookie","https://github.com/jshttp/cookie/raw/master/LICENSE","express:server"
"cookie@0.4.1","MIT","https://github.com/jshttp/cookie","https://github.com/jshttp/cookie/raw/master/LICENSE","server"
"core-js-compat@3.37.1","MIT","https://github.com/zloirock/core-js","https://github.com/zloirock/core-js/raw/master/LICENSE","SparkTasks"
"core-util-is@1.0.3","MIT","https://github.com/isaacs/core-util-is","https://github.com/isaacs/core-util-is/raw/master/LICENSE","SparkTasks"
"cosmiconfig@5.2.1","MIT","https://github.com/davidtheclark/cosmiconfig","https://github.com/davidtheclark/cosmiconfig/raw/master/LICENSE","SparkTasks"
"cross-fetch@3.1.8","MIT","https://github.com/lquixada/cross-fetch","https://github.com/lquixada/cross-fetch/raw/master/LICENSE","SparkTasks"
"cross-spawn@6.0.5","MIT","https://github.com/moxystudio/node-cross-spawn","https://github.com/moxystudio/node-cross-spawn/raw/master/LICENSE","execa:SparkTasks"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn","https://github.com/moxystudio/node-cross-spawn/raw/master/LICENSE","SparkTasks"
"crypt@0.0.2","BSD-3-Clause","https://github.com/pvorb/node-crypt","https://github.com/pvorb/node-crypt/raw/master/LICENSE.mkd","SparkTasks"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string","https://github.com/sindresorhus/crypto-random-string/raw/master/license","@expo/image-utils:SparkTasks"
"crypto-random-string@2.0.0","MIT","https://github.com/sindresorhus/crypto-random-string","https://github.com/sindresorhus/crypto-random-string/raw/master/license","SparkTasks"
"css-color-keywords@1.0.0","ISC","https://github.com/sonicdoe/css-color-keywords","https://github.com/sonicdoe/css-color-keywords/raw/master/LICENSE","SparkTasks"
"css-mediaquery@0.1.2","BSD","https://github.com/ericf/css-mediaquery","https://github.com/ericf/css-mediaquery/raw/master/LICENSE","SparkTasks"
"css-parse@1.0.4","MIT*","","","server"
"css-stringify@1.0.5","MIT*","","","server"
"css-to-react-native@3.2.0","MIT","https://github.com/styled-components/css-to-react-native","https://github.com/styled-components/css-to-react-native/raw/master/LICENSE.md","SparkTasks"
"css@1.0.8","MIT*","","","server"
"cssesc@3.0.0","MIT","https://github.com/mathiasbynens/cssesc","https://github.com/mathiasbynens/cssesc/raw/master/LICENSE-MIT.txt","SparkTasks"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype","https://github.com/frenic/csstype/raw/master/LICENSE","SparkTasks"
"dag-map@1.0.2","MIT","https://github.com/krisselden/dag-map","https://github.com/krisselden/dag-map/raw/master/LICENSE","SparkTasks"
"data-view-buffer@1.0.1","MIT","https://github.com/ljharb/data-view-buffer","https://github.com/ljharb/data-view-buffer/raw/master/LICENSE","SparkTasks"
"data-view-byte-length@1.0.1","MIT","https://github.com/ljharb/data-view-byte-length","https://github.com/ljharb/data-view-byte-length/raw/master/LICENSE","SparkTasks"
"data-view-byte-offset@1.0.0","MIT","https://github.com/ljharb/data-view-byte-offset","https://github.com/ljharb/data-view-byte-offset/raw/master/LICENSE","SparkTasks"
"dayjs@1.11.11","MIT","https://github.com/iamkun/dayjs","https://github.com/iamkun/dayjs/raw/master/LICENSE","SparkTasks"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","server"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","@expo/devcert:SparkTasks"
"debug@4.3.4","MIT","https://github.com/debug-js/debug","https://github.com/debug-js/debug/raw/master/LICENSE","agent-base:server"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog","https://github.com/sam-github/node-debuglog/raw/master/LICENSE","UNDEFINED"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize","https://github.com/sindresorhus/decamelize/raw/master/license","server"
"decode-uri-component@0.2.2","MIT","https://github.com/SamVerschueren/decode-uri-component","https://github.com/SamVerschueren/decode-uri-component/raw/master/license","SparkTasks"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend","https://github.com/unclechu/node-deep-extend/raw/master/LICENSE","SparkTasks"
"deepmerge@3.3.0","MIT","https://github.com/TehShrike/deepmerge","https://github.com/TehShrike/deepmerge/raw/master/license.txt","@callstack/react-theme-provider:SparkTasks"
"deepmerge@4.3.1","MIT","https://github.com/TehShrike/deepmerge","https://github.com/TehShrike/deepmerge/raw/master/license.txt","SparkTasks"
"default-gateway@4.2.0","BSD-2-Clause","https://github.com/silverwind/default-gateway","https://github.com/silverwind/default-gateway/raw/master/LICENSE","SparkTasks"
"defaults@1.0.4","MIT","https://github.com/sindresorhus/node-defaults","https://github.com/sindresorhus/node-defaults/raw/master/LICENSE","SparkTasks"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property","https://github.com/ljharb/define-data-property/raw/master/LICENSE","SparkTasks"
"define-lazy-prop@2.0.0","MIT","https://github.com/sindresorhus/define-lazy-prop","https://github.com/sindresorhus/define-lazy-prop/raw/master/license","SparkTasks"
"define-properties@1.2.1","MIT","https://github.com/ljharb/define-properties","https://github.com/ljharb/define-properties/raw/master/LICENSE","SparkTasks"
"del@6.1.1","MIT","https://github.com/sindresorhus/del","https://github.com/sindresorhus/del/raw/master/license","SparkTasks"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream","https://github.com/felixge/node-delayed-stream/raw/master/License","SparkTasks"
"delegates@1.0.0","MIT","https://github.com/visionmedia/node-delegates","https://github.com/visionmedia/node-delegates/raw/master/License","server"
"denodeify@1.2.1","MIT","https://github.com/matthew-andrews/denodeify","https://github.com/matthew-andrews/denodeify","SparkTasks"
"denque@2.1.0","Apache-2.0","https://github.com/invertase/denque","https://github.com/invertase/denque/raw/master/LICENSE","server"
"depd@1.1.2","MIT","https://github.com/dougwilson/nodejs-depd","https://github.com/dougwilson/nodejs-depd/raw/master/LICENSE","server"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd","https://github.com/dougwilson/nodejs-depd/raw/master/LICENSE","SparkTasks"
"destroy@1.0.4","MIT","https://github.com/stream-utils/destroy","https://github.com/stream-utils/destroy/raw/master/LICENSE","server"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy","https://github.com/stream-utils/destroy/raw/master/LICENSE","SparkTasks"
"detect-libc@1.0.3","Apache-2.0","https://github.com/lovell/detect-libc","https://github.com/lovell/detect-libc/raw/master/LICENSE","SparkTasks"
"detect-libc@2.0.3","Apache-2.0","https://github.com/lovell/detect-libc","https://github.com/lovell/detect-libc/raw/master/LICENSE","server"
"dezalgo@1.0.4","ISC","https://github.com/npm/dezalgo","https://github.com/npm/dezalgo/raw/master/LICENSE","UNDEFINED"
"didyoumean@1.2.2","Apache-2.0","https://github.com/dcporter/didyoumean.js","https://github.com/dcporter/didyoumean.js/raw/master/LICENSE","SparkTasks"
"dir-glob@3.0.1","MIT","https://github.com/kevva/dir-glob","https://github.com/kevva/dir-glob/raw/master/license","SparkTasks"
"dlv@1.1.3","MIT","https://github.com/developit/dlv","https://github.com/developit/dlv","SparkTasks"
"dotenv-expand@11.0.6","BSD-2-Clause","https://github.com/motdotla/dotenv-expand","https://github.com/motdotla/dotenv-expand/raw/master/LICENSE","SparkTasks"
"dotenv@16.4.5","BSD-2-Clause","https://github.com/motdotla/dotenv","https://github.com/motdotla/dotenv/raw/master/LICENSE","SparkTasks"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth","https://github.com/komagata/eastasianwidth","SparkTasks"
"ecdsa-sig-formatter@1.0.11","Apache-2.0","https://github.com/Brightspace/node-ecdsa-sig-formatter","https://github.com/Brightspace/node-ecdsa-sig-formatter/raw/master/LICENSE","server"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first","https://github.com/jonathanong/ee-first/raw/master/LICENSE","server"
"electron-to-chromium@1.4.772","ISC","https://github.com/kilian/electron-to-chromium/","https://github.com/kilian/electron-to-chromium//raw/master/LICENSE","SparkTasks"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex/raw/master/LICENSE-MIT.txt","server"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex/raw/master/LICENSE-MIT.txt","@isaacs/cliui:SparkTasks"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl","https://github.com/pillarjs/encodeurl/raw/master/LICENSE","server"
"end-of-stream@1.4.4","MIT","https://github.com/mafintosh/end-of-stream","https://github.com/mafintosh/end-of-stream/raw/master/LICENSE","SparkTasks"
"env-editor@0.4.2","MIT","https://github.com/sindresorhus/env-editor","https://github.com/sindresorhus/env-editor/raw/master/license","SparkTasks"
"envinfo@7.13.0","MIT","https://github.com/tabrindle/envinfo","https://github.com/tabrindle/envinfo/raw/master/LICENSE","SparkTasks"
"eol@0.9.1","MIT","https://github.com/ryanve/eol","https://github.com/ryanve/eol/raw/master/LICENSE","SparkTasks"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex","https://github.com/qix-/node-error-ex/raw/master/LICENSE","SparkTasks"
"error-stack-parser@2.1.4","MIT","https://github.com/stacktracejs/error-stack-parser","https://github.com/stacktracejs/error-stack-parser/raw/master/LICENSE","SparkTasks"
"errorhandler@1.5.1","MIT","https://github.com/expressjs/errorhandler","https://github.com/expressjs/errorhandler/raw/master/LICENSE","SparkTasks"
"es-abstract@1.23.3","MIT","https://github.com/ljharb/es-abstract","https://github.com/ljharb/es-abstract/raw/master/LICENSE","SparkTasks"
"es-define-property@1.0.0","MIT","https://github.com/ljharb/es-define-property","https://github.com/ljharb/es-define-property/raw/master/LICENSE","SparkTasks"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors","https://github.com/ljharb/es-errors/raw/master/LICENSE","SparkTasks"
"es-object-atoms@1.0.0","MIT","https://github.com/ljharb/es-object-atoms","https://github.com/ljharb/es-object-atoms/raw/master/LICENSE","SparkTasks"
"es-set-tostringtag@2.0.3","MIT","https://github.com/es-shims/es-set-tostringtag","https://github.com/es-shims/es-set-tostringtag/raw/master/LICENSE","SparkTasks"
"es-to-primitive@1.2.1","MIT","https://github.com/ljharb/es-to-primitive","https://github.com/ljharb/es-to-primitive/raw/master/LICENSE","SparkTasks"
"escalade@3.1.2","MIT","https://github.com/lukeed/escalade","https://github.com/lukeed/escalade/raw/master/license","server"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html","https://github.com/component/escape-html/raw/master/LICENSE","server"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","UNDEFINED"
"escape-string-regexp@2.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","stack-utils:SparkTasks"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","@react-navigation/core:SparkTasks"
"esm@3.2.25","MIT","https://github.com/standard-things/esm","https://github.com/standard-things/esm/raw/master/LICENSE","server"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima","https://github.com/jquery/esprima/raw/master/LICENSE.BSD","SparkTasks"
"esutils@2.0.3","BSD-2-Clause","http://github.com/estools/esutils","http://github.com/estools/esutils/raw/master/LICENSE.BSD","SparkTasks"
"etag@1.8.1","MIT","https://github.com/jshttp/etag","https://github.com/jshttp/etag/raw/master/LICENSE","server"
"event-target-shim@5.0.1","MIT","https://github.com/mysticatea/event-target-shim","https://github.com/mysticatea/event-target-shim/raw/master/LICENSE","SparkTasks"
"exec-async@2.2.0","MIT","https://github.com/ccheever/exec-async","https://github.com/ccheever/exec-async/raw/master/LICENSE","SparkTasks"
"execa@1.0.0","MIT","https://github.com/sindresorhus/execa","https://github.com/sindresorhus/execa/raw/master/license","SparkTasks"
"execa@5.1.1","MIT","https://github.com/sindresorhus/execa","https://github.com/sindresorhus/execa/raw/master/license","@react-native-community/cli-tools:SparkTasks"
"expo-asset@10.0.6","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo-constants@16.0.1","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo-file-system@17.0.1","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo-font@12.0.5","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo-keep-awake@13.0.2","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo-modules-autolinking@1.11.1","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo-modules-core@1.12.11","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo-status-bar@1.12.1","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"expo@51.0.8","MIT","https://github.com/expo/expo","https://github.com/expo/expo","SparkTasks"
"express@4.16.4","MIT","https://github.com/expressjs/express","https://github.com/expressjs/express/raw/master/LICENSE","server"
"extend@3.0.2","MIT","https://github.com/justmoon/node-extend","https://github.com/justmoon/node-extend/raw/master/LICENSE","SparkTasks"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal","https://github.com/epoberezkin/fast-deep-equal/raw/master/LICENSE","SparkTasks"
"fast-glob@3.3.2","MIT","https://github.com/mrmlnc/fast-glob","https://github.com/mrmlnc/fast-glob/raw/master/LICENSE","SparkTasks"
"fast-xml-parser@4.3.6","MIT","https://github.com/NaturalIntelligence/fast-xml-parser","https://github.com/NaturalIntelligence/fast-xml-parser/raw/master/LICENSE","SparkTasks"
"fastq@1.17.1","ISC","https://github.com/mcollina/fastq","https://github.com/mcollina/fastq/raw/master/LICENSE","SparkTasks"
"fb-watchman@2.0.2","Apache-2.0","https://github.com/facebook/watchman","https://github.com/facebook/watchman","SparkTasks"
"fbemitter@3.0.0","BSD-3-Clause","https://github.com/facebook/emitter","https://github.com/facebook/emitter/raw/master/LICENSE","SparkTasks"
"fbjs-css-vars@1.0.2","MIT","https://github.com/facebook/fbjs","https://github.com/facebook/fbjs/raw/master/LICENSE","SparkTasks"
"fbjs@3.0.5","MIT","https://github.com/facebook/fbjs","https://github.com/facebook/fbjs/raw/master/LICENSE","SparkTasks"
"fetch-retry@4.1.1","MIT","https://github.com/jonbern/fetch-retry","https://github.com/jonbern/fetch-retry/raw/master/LICENSE","SparkTasks"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","SparkTasks"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","server"
"filter-obj@1.1.0","MIT","https://github.com/sindresorhus/filter-obj","https://github.com/sindresorhus/filter-obj/raw/master/license","SparkTasks"
"finalhandler@1.1.1","MIT","https://github.com/pillarjs/finalhandler","https://github.com/pillarjs/finalhandler/raw/master/LICENSE","server"
"finalhandler@1.1.2","MIT","https://github.com/pillarjs/finalhandler","https://github.com/pillarjs/finalhandler/raw/master/LICENSE","SparkTasks"
